country,chain,item,size_label,grams,ml,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,source_url
UK,Burger King,Coca-Cola - Val,1 item,,,213,0,53.4,0,0,53.4,https://www.burgerking.co.uk/menu
UK,Burger King,Coca-Cola - Sml,1 item,,,267,0,66.7,0,0,66.7,https://www.burgerking.co.uk/menu
UK,Burger King,Coca-Cola - Med,1 item,,,387,0,96.7,0,0,96.7,https://www.burgerking.co.uk/menu
UK,Burger King,Coca-Cola - Lrg,1 item,,,507,0,126.7,0,0,126.7,https://www.burgerking.co.uk/menu
UK,Burger King,Diet Coke - Val,1 item,,,1,0.0,0.4,0,0.1,0.0,https://www.burgerking.co.uk/menu
UK,Burger King,Diet Coke - Sml,1 item,,,2,0.1,0.5,0,0.1,0.0,https://www.burgerking.co.uk/menu
UK,Burger King,Diet Coke - Med,1 item,,,2,0.1,0.7,0,0.2,0.1,https://www.burgerking.co.uk/menu
UK,Burger King,Diet Coke - Lrg,1 item,,,3,0.1,0.9,0,0.3,0.1,https://www.burgerking.co.uk/menu
UK,Burger King,Sprite -,Kid,,,160,0,40.0,0,0,40.0,https://www.burgerking.co.uk/menu
UK,Burger King,Sprite - Val,1 item,,,197,0,49.2,0,0,48.6,https://www.burgerking.co.uk/menu
UK,Burger King,Sprite - Sml,1 item,,,246,0,61.5,0,0,60.7,https://www.burgerking.co.uk/menu
UK,Burger King,Sprite - Med,1 item,,,357,0,89.1,0,0,88.1,https://www.burgerking.co.uk/menu
UK,Burger King,Sprite - Lrg,1 item,,,467,0,116.8,0,0,115.4,https://www.burgerking.co.uk/menu
UK,Burger King,Dr. Pepper -,Kid,,,140,0,39,0,0,38,https://www.burgerking.co.uk/menu
UK,Burger King,Dr. Pepper - Val,1 item,,,190,0,52,0,0,51,https://www.burgerking.co.uk/menu
UK,Burger King,Dr. Pepper - Sml,1 item,,,240,0,65,0,0,64,https://www.burgerking.co.uk/menu
UK,Burger King,Dr. Pepper - Med,1 item,,,350,0,94,0,0,93,https://www.burgerking.co.uk/menu
UK,Burger King,Dr. Pepper - Lrg,1 item,,,450,0,124,0,0,121,https://www.burgerking.co.uk/menu
UK,Burger King,Coca-Cola Zero - Val,1 item,,,1,0.1,0.2,0,0.1,0.1,https://www.burgerking.co.uk/menu
UK,Burger King,Coca-Cola Zero - Sml,1 item,,,1,0.1,0.2,0,0.1,0.2,https://www.burgerking.co.uk/menu
UK,Burger King,Coca-Cola Zero - Med,1 item,,,2,0.1,0.3,0,0.2,0.2,https://www.burgerking.co.uk/menu
UK,Burger King,Coca-Cola Zero - Lrg,1 item,,,2,0.1,0.4,0,0.2,0.3,https://www.burgerking.co.uk/menu
UK,Burger King,Sprite Zero - Val,1 item,,,4,0.0,0,0,0,0,https://www.burgerking.co.uk/menu
UK,Burger King,Sprite Zero - Sml,1 item,,,4,0.0,0,0,0,0,https://www.burgerking.co.uk/menu
UK,Burger King,Sprite Zero - Med,1 item,,,6,0.1,0,0,0,0,https://www.burgerking.co.uk/menu
UK,Burger King,Sprite Zero - Lrg,1 item,,,8,0.1,0,0,0,0,https://www.burgerking.co.uk/menu
UK,Burger King,Barqs Root Beer - Val,1 item,,,180,0,48.9,0,0,48.9,https://www.burgerking.co.uk/menu
UK,Burger King,Barqs Root Beer - Sml,1 item,,,239,0,65.2,0,0,65.2,https://www.burgerking.co.uk/menu
UK,Burger King,Barqs Root Beer - Med,1 item,,,359,0,89.5,0,0.2,89.2,https://www.burgerking.co.uk/menu
UK,Burger King,Barqs Root Beer - Lrg,1 item,,,470,0,117.3,0,0.3,116.9,https://www.burgerking.co.uk/menu
UK,Burger King,Diet Barqs Root Beer -,Kid,,,0,0,0.3,0,0.1,0.1,https://www.burgerking.co.uk/menu
UK,Burger King,Diet Barqs Root Beer - Val,1 item,,,1,0,0.4,0,0.1,0.2,https://www.burgerking.co.uk/menu
UK,Burger King,Diet Barqs Root Beer - Sml,1 item,,,2,0,2.0,0,0.2,0.2,https://www.burgerking.co.uk/menu
UK,Burger King,Diet Barqs Root Beer - Med,1 item,,,3,0,0.7,0,0.3,0.3,https://www.burgerking.co.uk/menu
UK,Burger King,Powerade - Val,1 item,,,121,0.0,29.2,0.0,0,29.2,https://www.burgerking.co.uk/menu
UK,Burger King,Powerade - Sml,1 item,,,152,0.0,36.5,0.0,0,36.5,https://www.burgerking.co.uk/menu
UK,Burger King,Powerade - Med,1 item,,,220,0.0,53.0,0.0,0,52.9,https://www.burgerking.co.uk/menu
UK,Burger King,Powerade - Lrg,1 item,,,288,0.0,69.4,0.1,0,69.3,https://www.burgerking.co.uk/menu
UK,Burger King,Powerade Zero - Val,1 item,,,4,0.0,0.9,0,0,0,https://www.burgerking.co.uk/menu
UK,Burger King,Powerade Zero - Sml,1 item,,,6,0.1,1.3,0,0,0,https://www.burgerking.co.uk/menu
UK,Burger King,Powerade Zero - Med,1 item,,,7,0.1,1.6,0,0,0,https://www.burgerking.co.uk/menu
UK,Burger King,Powerade Zero - Lrg,1 item,,,10,0.1,2.3,0,0,0,https://www.burgerking.co.uk/menu
UK,Burger King,Mello Yello - Val,1 item,,,229,0,58,0.0,0.0,58,https://www.burgerking.co.uk/menu
UK,Burger King,Mello Yello - Sml,1 item,,,286,0,72.5,0.0,0.0,72.5,https://www.burgerking.co.uk/menu
UK,Burger King,Mello Yello - Med,1 item,,,415,0,105.1,0.0,0.0,105.1,https://www.burgerking.co.uk/menu
UK,Burger King,Mello Yello - Lrg,1 item,,,544,0,137.8,0.0,0.0,137.8,https://www.burgerking.co.uk/menu
UK,Burger King,Mello Yello Zero - Val,1 item,,,190,0,0,0.0,0,0,https://www.burgerking.co.uk/menu
UK,Burger King,Mello Yello Zero - Sml,1 item,,,238,0,60.2,0.0,0.0,60.2,https://www.burgerking.co.uk/menu
UK,Burger King,Mello Yello Zero - Med,1 item,,,345,0,87.3,0.0,0.0,87.3,https://www.burgerking.co.uk/menu
UK,Burger King,Mello Yello Zero - Lrg,1 item,,,451,0,114.3,0.0,0.0,114.3,https://www.burgerking.co.uk/menu
UK,Burger King,Hi-C Fruit Punch - Med,1 item,,,9,0.1,2.5,0.0,0,0,https://www.burgerking.co.uk/menu
UK,Burger King,Hi-C Fruit Punch - Lrg,1 item,,,12,0.2,3.3,0.0,0,0,https://www.burgerking.co.uk/menu
UK,Burger King,Sweet Iced Tea - Val,1 item,,,165,0.1,41.5,0.0,0.0,41.4,https://www.burgerking.co.uk/menu
UK,Burger King,Sweet Iced Tea - Sml,1 item,,,206,0.1,51.9,0.0,0.0,51.8,https://www.burgerking.co.uk/menu
UK,Burger King,Sweet Iced Tea - Med,1 item,,,298,0.2,75.2,0.0,0.1,75.1,https://www.burgerking.co.uk/menu
UK,Burger King,Sweet Iced Tea - Lrg,1 item,,,391,0.2,98.6,0.0,0.1,98.3,https://www.burgerking.co.uk/menu
UK,Burger King,Green Bay Whopper,1 item,,,993,47.0,58.4,66.2,2.7,15.6,https://www.burgerking.co.uk/menu
UK,Burger King,Hot Choco Brownie (whipped Cream),1 item,95,,407,4.7,33.4,27.9,1.6,22.9,https://www.burgerking.co.uk/menu
UK,Burger King,Caramel Twix Shake,1 item,,,768,12.4,129.7,21.4,1.4,106.2,https://www.burgerking.co.uk/menu
UK,Burger King,Vanilla M&M Shake,1 item,,,780,16.7,127.9,22.4,1.2,111.5,https://www.burgerking.co.uk/menu
UK,Burger King,Vanilla Twix Shake,1 item,,,784,16.5,126.6,23.4,0.7,107.4,https://www.burgerking.co.uk/menu
UK,Burger King,Chocolate Twix Shake,1 item,,,727,13.0,118.9,21.8,2.4,93.3,https://www.burgerking.co.uk/menu
UK,Burger King,Chocolate M&M Shake,1 item,,,842,17.4,143.5,22.4,2.6,124.1,https://www.burgerking.co.uk/menu
UK,Burger King,Apple slices,1 item,80,,46,0.2,9.9,0.1,2.2,9.9,https://www.burgerking.co.uk/menu
UK,Burger King,Garden Side Salad,1 item,72,,15,0.8,2.5,0.2,1.6,2.4,https://www.burgerking.co.uk/menu
UK,Burger King,Crispy Taco (1 unit),1 item,,,170,5.4,18.7,8.6,2.2,1.1,https://www.burgerking.co.uk/menu
UK,Burger King,M&M Chocolate Sundae,1 item,,,372,7.1,61.9,10.8,1.3,54.0,https://www.burgerking.co.uk/menu
UK,Burger King,M&M Caramel Sundae,1 item,,,405,7.3,68.3,11.4,1.0,56.8,https://www.burgerking.co.uk/menu
UK,Burger King,Spicy Nuggets - 8 Piece,1 item,,,421,16.1,22.6,29.6,3.4,0.6,https://www.burgerking.co.uk/menu
UK,Burger King,French Toast S/E/C,1 item,,,486,22.4,29.0,30.4,1.7,9.8,https://www.burgerking.co.uk/menu
UK,Burger King,French Toast H/E/C,1 item,,,345,21.1,29.9,14.9,1.7,10.6,https://www.burgerking.co.uk/menu
UK,Burger King,French Toast B/E/C,1 item,,,350,17.8,29.0,17.3,1.7,9.8,https://www.burgerking.co.uk/menu
UK,Burger King,Condiment - Topping M&M Pieces,1 item,,,146,1.5,22.6,5.6,0.8,20.2,https://www.burgerking.co.uk/menu
UK,Burger King,Condiment - Topping Twix Pieces,1 item,,,140,1.3,18.9,6.6,0.3,13.8,https://www.burgerking.co.uk/menu
UK,Burger King,Bacon Butty HP sauce,1 item,117,,284,14.9,38.3,7.6,1.8,9.9,https://www.burgerking.co.uk/menu
UK,Burger King,Sausage Butty HP Sauce,1 item,138.1,,333,16.3,38.6,12.2,1.9,9.7,https://www.burgerking.co.uk/menu
UK,Burger King,Bacon&Egg breakfast HP sauce,1 item,174.2,,366,20.9,39.7,13.4,2.0,10.2,https://www.burgerking.co.uk/menu
UK,Burger King,Sausage & Egg breakfast HP sauce,1 item,195.3,,415,22.3,40.0,18.0,2.1,10.0,https://www.burgerking.co.uk/menu
UK,Burger King,Ultimate breakfast with HP sauce,1 item,222.3,,495,31.2,40.3,22.8,2.3,10.4,https://www.burgerking.co.uk/menu
UK,Burger King,Breakfast king with HP sauce,1 item,270.8,,650,44.0,40.6,34.1,2.7,10.8,https://www.burgerking.co.uk/menu
UK,Burger King,4 pc Mac ‘n’ Cheese Bites,1 item,72,,240,7.4,15.4,16.6,1.5,0.7,https://www.burgerking.co.uk/menu
UK,Burger King,6 pc Mac ‘n’ Cheese Bites,1 item,108,,360,11.1,23.1,24.9,2.3,1.0,https://www.burgerking.co.uk/menu
UK,Burger King,6 piece Chicken Fries*,1 item,94,,214,13.0,17.9,10.0,0.9,1.5,https://www.burgerking.co.uk/menu
UK,Burger King,9 piece Chicken Fries*,1 item,140.5,,320,19.5,26.6,15.1,1.4,2.0,https://www.burgerking.co.uk/menu
UK,Burger King,20 Chicken Fries*,1 item,310,,707,43.4,58.3,33.5,3.1,3.7,https://www.burgerking.co.uk/menu
UK,Burger King,Crispy Chicken Salad,1 item,221,,284,16.8,25.7,12.3,2.7,9.7,https://www.burgerking.co.uk/menu
UK,Burger King,Tropicana Apple Juice,1 item,250,,112,0.2,27,0,0.3,27,https://www.burgerking.co.uk/menu
UK,Burger King,Halloumi Burger,1 item,167,,452,19.6,34.6,25.7,1.9,6.3,https://www.burgerking.co.uk/menu
UK,Burger King,Halloumi King,1 item,176,,576,32.7,34,34.1,1.6,5.6,https://www.burgerking.co.uk/menu
UK,Burger King,M&M Cookie (1 Count),1 item,,,161,1.8,24.1,6.6,0.5,14.9,https://www.burgerking.co.uk/menu
UK,Burger King,M&M Cookies (2 Count),1 item,,,323,3.6,48.1,13.2,0.9,29.9,https://www.burgerking.co.uk/menu
UK,Burger King,Impossible Whopper,1 item,,,629,25.3,58.0,34.0,4.2,11.8,https://www.burgerking.co.uk/menu
UK,Burger King,Hamburger Patty,1 item,33.19,,97,8.6,0.5,6.9,0,0.5,https://www.burgerking.co.uk/menu
UK,Burger King,WHOPPER Patty,1 item,,,246,21.6,0.1,17.8,0.5,0.1,https://www.burgerking.co.uk/menu
UK,Burger King,Angus Patty,1 item,,,308,26.5,0.1,22.3,0,0.3,https://www.burgerking.co.uk/menu
UK,Burger King,Whopper patty 4oz - Foyle,1 item,84.53,,246,21.6,0.1,17.8,0.5,0.1,https://www.burgerking.co.uk/menu
UK,Burger King,Hamburger patty 1.7oz - Foyle,1 item,33.19,,97,8.6,0.0,6.9,0.2,0.0,https://www.burgerking.co.uk/menu
UK,Burger King,Sausage Patty,1 item,,,129,10.3,0.7,9.4,0.2,0.1,https://www.burgerking.co.uk/menu
UK,Burger King,Egg patty,1 item,,,85,2.6,5.1,6.1,1.1,0.3,https://www.burgerking.co.uk/menu
UK,Burger King,Chicken Royale - Farmor,1 item,,,219,14.9,8.7,13.9,0.5,1.1,https://www.burgerking.co.uk/menu
UK,Burger King,Chicken strips,1 item,50,,108,7.8,9.5,4.2,0.6,0,https://www.burgerking.co.uk/menu
UK,Burger King,Back Bacon,1 item,,,45,4.8,0.0,2.8,0.1,0.0,https://www.burgerking.co.uk/menu
UK,Burger King,Streaky Bacon - TMI Foods,1 item,,,8,0.6,0.2,0.6,0.0,0.0,https://www.burgerking.co.uk/menu
UK,Burger King,White Cheese,1 item,,,48,2.7,0.8,3.8,0,0.7,https://www.burgerking.co.uk/menu
UK,Burger King,Onion Rings,1 item,15,,37,0.8,4.7,1.6,0.6,0.7,https://www.burgerking.co.uk/menu
